entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateModified,dateCreated,entityType
http://www.wikidata.org/entity/Q14433905,Drang,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,3.354145,square kilometre,3,2024-04-11T21:37:30Z,,Lake
http://www.wikidata.org/entity/Q3215077,Lac Mékinac,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,2296.8,hectare,5,2024-11-30T21:28:29Z,,Lake
http://www.wikidata.org/entity/Q6516096,Øgderen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,12.657139,square kilometre,8,2024-09-22T12:30:22Z,,Lake
http://www.wikidata.org/entity/Q2003154,Vågåvatnet,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,14.046563,square kilometre,11,2024-04-08T16:37:43Z,,Lake
http://www.wikidata.org/entity/Q12714700,Flævatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,16.717187,square kilometre,5,2024-02-07T15:22:33Z,,Lake
http://www.wikidata.org/entity/Q4092515,Boyuk Alagol,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,0.53,square kilometre,13,2024-10-30T22:15:31Z,,Lake
http://www.wikidata.org/entity/Q1519849,Heddalsvatnet,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,13.204757,square kilometre,9,2024-04-13T15:14:33Z,,Lake
http://www.wikidata.org/entity/Q11224164,Ståvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,6.490119,square kilometre,4,2024-04-09T06:33:01Z,,Lake
http://www.wikidata.org/entity/Q1144469,Osensjøen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,43.63513,square kilometre,10,2024-04-01T00:09:00Z,,Lake
http://www.wikidata.org/entity/Q35708231,Holmasjøen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.918929,square kilometre,2,2024-01-20T23:24:52Z,,Lake
http://www.wikidata.org/entity/Q108143644,Vorderer Langbathsee,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,34.6118,hectare,0,2023-07-08T13:51:39Z,,Lake
http://www.wikidata.org/entity/Q1249848,Sundsbarmvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,8.772033,square kilometre,5,2024-03-28T06:24:58Z,,Lake
http://www.wikidata.org/entity/Q175674,Norsjø,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,55.116159,square kilometre,15,2024-04-02T09:40:31Z,,Lake
http://www.wikidata.org/entity/Q2671507,Svanevatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,32.677581,square kilometre,14,2024-11-29T12:40:12Z,,Lake
http://www.wikidata.org/entity/Q35708247,Holmavatnet,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.808592,square kilometre,2,2024-04-13T10:23:57Z,,Lake
http://www.wikidata.org/entity/Q1633266,Nisser,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,76.468828,square kilometre,14,2024-03-31T02:27:14Z,,Lake
http://www.wikidata.org/entity/Q108143643,Nussensee in Bad Ischl,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,9.722,hectare,0,2023-07-08T07:48:23Z,,Lake
