entity,entityLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q5699,Ur,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,46.104444,82,,2024-07-18T12:38:47Z
http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-73.963333333,81,,2024-11-13T15:47:42Z
http://www.wikidata.org/entity/Q484458,Buddhas of Bamiyan,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,67.826802777,81,,2024-07-09T14:17:40Z
http://www.wikidata.org/entity/Q101583,Thebes,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,32.610277777,81,,2024-10-02T09:56:52Z
http://www.wikidata.org/entity/Q130958,The Great Sphinx,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,31.13768,80,,2024-11-06T16:51:53Z
http://www.wikidata.org/entity/Q134821,Western Wall,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,35.23425,80,,2024-10-11T08:51:36Z
http://www.wikidata.org/entity/Q200441,Antioch,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,36.181666666,79,,2024-11-14T05:47:39Z
http://www.wikidata.org/entity/Q20350,moai,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-109.363994,77,,2024-11-17T19:29:43Z
http://www.wikidata.org/entity/Q173148,Delos,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,25.27122,77,,2024-11-13T16:42:55Z
http://www.wikidata.org/entity/Q170495,Topkapı Palace,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,28.984,76,,2024-10-07T12:45:17Z
http://www.wikidata.org/entity/Q180773,Susa,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,48.25,76,,2024-11-13T13:34:01Z
http://www.wikidata.org/entity/Q200200,Assur,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,43.2625,76,,2024-11-11T08:03:34Z
http://www.wikidata.org/entity/Q214944,Göbekli Tepe,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,38.9225,76,,2024-09-25T02:27:59Z
http://www.wikidata.org/entity/Q2909160,The Temple Institute,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,35.2331,75,,2024-11-23T04:23:10Z
