person,personLabel,category,property,propertyLabel,startYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q63952,Max Simon,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1933,http://www.wikidata.org/entity/Q82955,politician,17,,2024-11-15T08:48:29Z
http://www.wikidata.org/entity/Q64172,Bärbel Bohley,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1974,http://www.wikidata.org/entity/Q82955,politician,15,,2024-10-24T01:47:38Z
http://www.wikidata.org/entity/Q68050,Giampiero Boniperti,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1946,http://www.wikidata.org/entity/Q82955,politician,46,,2024-12-04T04:15:14Z
http://www.wikidata.org/entity/Q57893,Karl Wolff,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1917,http://www.wikidata.org/entity/Q82955,politician,32,,2024-10-28T18:39:57Z
http://www.wikidata.org/entity/Q60446,Franz Ritter von Epp,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1887,http://www.wikidata.org/entity/Q82955,politician,28,,2024-11-16T03:23:57Z
http://www.wikidata.org/entity/Q65281,Günther Pancke,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1930,http://www.wikidata.org/entity/Q82955,politician,17,,2024-11-29T02:32:38Z
http://www.wikidata.org/entity/Q64227,Peter Högl,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1916,http://www.wikidata.org/entity/Q82955,politician,19,,2024-10-24T01:47:57Z
http://www.wikidata.org/entity/Q61527,Herta Oberheuser,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1937,http://www.wikidata.org/entity/Q82955,politician,27,,2024-10-24T01:27:59Z
http://www.wikidata.org/entity/Q65489,Eduard Vogel von Falckenstein,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1813,http://www.wikidata.org/entity/Q82955,politician,14,,2024-11-29T00:59:42Z
http://www.wikidata.org/entity/Q61797,"Hermann, Fürst von Pückler-Muskau",Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1795,http://www.wikidata.org/entity/Q82955,politician,24,,2024-12-08T03:57:27Z
http://www.wikidata.org/entity/Q58583,Ernst Röhm,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1914,http://www.wikidata.org/entity/Q82955,politician,68,,2024-11-30T09:54:51Z
http://www.wikidata.org/entity/Q58579,Erich Ludendorff,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1883,http://www.wikidata.org/entity/Q82955,politician,71,,2024-12-08T03:52:25Z
http://www.wikidata.org/entity/Q62521,Alexander von Falkenhausen,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1897,http://www.wikidata.org/entity/Q82955,politician,25,,2024-10-24T10:33:07Z
