person,personLabel,category,property,propertyLabel,endYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q3075041,Utagawa Yoshitora,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1882,http://www.wikidata.org/entity/Q483501,artist,11,,2024-12-06T17:35:17Z
http://www.wikidata.org/entity/Q160252,Frederic Leighton,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1896,http://www.wikidata.org/entity/Q82955,politician,42,,2024-12-06T12:29:24Z
http://www.wikidata.org/entity/Q935291,Peter Cooper,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1883,http://www.wikidata.org/entity/Q82955,politician,22,,2024-10-19T14:47:06Z
http://www.wikidata.org/entity/Q652873,Aristotelis Valaoritis,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1879,http://www.wikidata.org/entity/Q82955,politician,14,,2024-12-08T13:25:39Z
http://www.wikidata.org/entity/Q160252,Frederic Leighton,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1896,http://www.wikidata.org/entity/Q483501,artist,42,,2024-12-06T12:29:24Z
http://www.wikidata.org/entity/Q40599,Édouard Manet,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1882,http://www.wikidata.org/entity/Q483501,artist,109,,2024-12-08T03:34:18Z
http://www.wikidata.org/entity/Q475784,Joseph Vinoy,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1880,http://www.wikidata.org/entity/Q82955,politician,11,,2024-12-08T01:27:54Z
http://www.wikidata.org/entity/Q539,Giuseppe Garibaldi,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1882,http://www.wikidata.org/entity/Q82955,politician,129,,2024-12-09T02:16:52Z
http://www.wikidata.org/entity/Q318352,Felice Beato,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1907,http://www.wikidata.org/entity/Q483501,artist,34,,2024-12-03T16:01:57Z
http://www.wikidata.org/entity/Q156386,Henri Rousseau,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1910,http://www.wikidata.org/entity/Q483501,artist,70,,2024-12-08T04:16:20Z
http://www.wikidata.org/entity/Q448214,Harriet Hosmer,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1899,http://www.wikidata.org/entity/Q483501,artist,21,,2024-11-30T02:15:37Z
http://www.wikidata.org/entity/Q105320,Berthe Morisot,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1895,http://www.wikidata.org/entity/Q483501,artist,69,,2024-12-08T03:32:48Z
http://www.wikidata.org/entity/Q513142,Elizabeth Eastlake,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1893,http://www.wikidata.org/entity/Q483501,artist,13,,2024-11-09T14:16:59Z
http://www.wikidata.org/entity/Q168657,Albert I of Saxony,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1902,http://www.wikidata.org/entity/Q82955,politician,36,,2024-11-01T00:44:19Z
http://www.wikidata.org/entity/Q204936,Kate Greenaway,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1901,http://www.wikidata.org/entity/Q483501,artist,29,,2024-12-01T02:22:24Z
http://www.wikidata.org/entity/Q296785,Tōgō Heihachirō,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1913,http://www.wikidata.org/entity/Q82955,politician,48,,2024-10-30T15:36:34Z
http://www.wikidata.org/entity/Q468122,Nogi Maresuke,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1912,http://www.wikidata.org/entity/Q82955,politician,31,,2024-10-20T15:13:45Z
http://www.wikidata.org/entity/Q3817460,Ferdinand James von Rothschild,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1898,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-19T02:25:37Z
http://www.wikidata.org/entity/Q434257,Josip Juraj Strossmayer,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1905,http://www.wikidata.org/entity/Q82955,politician,27,,2024-12-08T06:00:50Z
http://www.wikidata.org/entity/Q66130,"Prince Wilhelm, 5th Prince of Wied",Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1907,http://www.wikidata.org/entity/Q82955,politician,20,,2024-10-26T12:23:48Z
http://www.wikidata.org/entity/Q53403,Dwight Filley Davis Sr.,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1902,http://www.wikidata.org/entity/Q82955,politician,37,,2024-10-13T14:41:32Z
http://www.wikidata.org/entity/Q173417,Joseph Pulitzer,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1907,http://www.wikidata.org/entity/Q82955,politician,80,,2024-12-02T23:33:34Z
http://www.wikidata.org/entity/Q241732,Rosa Bonheur,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1899,http://www.wikidata.org/entity/Q483501,artist,48,,2024-11-27T13:59:15Z
http://www.wikidata.org/entity/Q572655,Ignacio Manuel Altamirano,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1893,http://www.wikidata.org/entity/Q82955,politician,25,,2024-11-15T16:36:01Z
http://www.wikidata.org/entity/Q2140000,Alexandre Falguière,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1900,http://www.wikidata.org/entity/Q483501,artist,19,,2024-12-05T19:33:07Z
http://www.wikidata.org/entity/Q527156,Alexei Kuropatkin,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1917,http://www.wikidata.org/entity/Q82955,politician,36,,2024-11-24T18:03:50Z
http://www.wikidata.org/entity/Q48674,René Fonck,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1918,http://www.wikidata.org/entity/Q82955,politician,23,,2024-11-18T13:53:59Z
