person,personLabel,category,property,propertyLabel,value,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q28530,"William II, Count of Flanders",Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,20,,2024-08-30T21:16:14Z
http://www.wikidata.org/entity/Q234408,Dana Zátopková,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q2066131,athlete,38,,2024-10-25T00:04:38Z
http://www.wikidata.org/entity/Q8605,Simón Bolívar,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,169,,2024-12-08T18:24:51Z
http://www.wikidata.org/entity/Q57180,Frederick William IV of Prussia,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,66,,2024-12-08T03:49:28Z
http://www.wikidata.org/entity/Q54030,Stephen Báthory,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,59,,2024-11-25T07:42:32Z
http://www.wikidata.org/entity/Q235343,Genshō,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,35,,2024-06-21T07:21:56Z
http://www.wikidata.org/entity/Q12366816,Kersti Kaljulaid,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,94,,2024-12-06T13:58:53Z
http://www.wikidata.org/entity/Q11813,James Madison,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,165,,2024-12-08T05:22:29Z
http://www.wikidata.org/entity/Q7301,Prince of Hongnong,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,27,,2024-11-09T20:28:53Z
http://www.wikidata.org/entity/Q299001,Thomas R. Marshall,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,56,,2024-12-07T15:04:49Z
http://www.wikidata.org/entity/Q1354579,Kazimierz Leon Sapieha,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,12,,2024-11-25T10:34:47Z
http://www.wikidata.org/entity/Q704506,Michał Kazimierz Ogiński,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,19,,2024-12-04T12:02:05Z
http://www.wikidata.org/entity/Q293133,Jenni Haukio,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,21,,2024-10-12T03:43:28Z
http://www.wikidata.org/entity/Q57956,Günther Oettinger,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,33,,2024-10-28T18:40:12Z
http://www.wikidata.org/entity/Q1124,Bill Clinton,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,216,,2024-12-09T08:13:41Z
http://www.wikidata.org/entity/Q57670,Yingluck Shinawatra,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,81,,2024-10-02T09:58:30Z
http://www.wikidata.org/entity/Q12325,James Buchanan,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,140,,2024-11-15T13:47:08Z
http://www.wikidata.org/entity/Q23,George Washington,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,255,,2024-12-08T16:27:13Z
http://www.wikidata.org/entity/Q58132,Nicolás Maduro,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,119,,2024-11-09T17:50:56Z
http://www.wikidata.org/entity/Q310843,Thomas A. Hendricks,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,52,,2024-10-28T23:24:49Z
http://www.wikidata.org/entity/Q31082,Florence Griffith Joyner,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q2066131,athlete,55,,2024-11-30T11:58:57Z
http://www.wikidata.org/entity/Q57545,Kailash Purryag,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,25,,2024-11-13T03:41:14Z
http://www.wikidata.org/entity/Q291068,Mary McLeod Bethune,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,28,,2024-11-13T20:01:45Z
http://www.wikidata.org/entity/Q3768253,Giovanni Toti,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-20T19:33:42Z
http://www.wikidata.org/entity/Q701103,"Archduke Stephen, Palatine of Hungary",Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,20,,2024-12-09T14:28:42Z
http://www.wikidata.org/entity/Q1206951,Devlet Bahçeli,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,36,,2024-12-03T19:00:00Z
http://www.wikidata.org/entity/Q30487,Mikhail Gorbachev,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,194,,2024-12-08T03:30:08Z
http://www.wikidata.org/entity/Q23530,Dmitry Medvedev,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,167,,2024-11-23T03:49:30Z
http://www.wikidata.org/entity/Q29315,Marina Weisband,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-21T11:28:59Z
