event,eventLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified,entityType
http://www.wikidata.org/entity/Q4614467,2009 New Zealand Winter Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,816,2,,2023-05-31T13:31:23Z,Sports Event
http://www.wikidata.org/entity/Q10307714,2000 Goodwill Winter Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,442,5,,2024-01-29T14:31:02Z,Sports Event
http://www.wikidata.org/entity/Q2574663,1991 Games of the Small States of Europe,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,697,10,,2024-03-31T02:04:22Z,Sports Event
http://www.wikidata.org/entity/Q2060575,1978 Commonwealth Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1475,17,,2024-07-08T21:50:25Z,Sports Event
http://www.wikidata.org/entity/Q3178343,2011 Canada Winter Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2321,2,,2024-07-17T21:02:53Z,Sports Event
http://www.wikidata.org/entity/Q12370846,1922 Women's World Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,77,10,,2024-10-21T11:42:28Z,Sports Event
http://www.wikidata.org/entity/Q2411276,1978 Southern Cross Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,582,7,,2024-03-31T02:03:56Z,Sports Event
http://www.wikidata.org/entity/Q3083264,World Games Wroclaw 2017,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3168,19,,2024-09-25T23:30:31Z,Sports Event
http://www.wikidata.org/entity/Q2000553,1991 Mediterranean Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,18,20,,2024-07-24T20:55:52Z,Sports Event
http://www.wikidata.org/entity/Q5950121,Islamic Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,781,11,,2024-08-05T06:24:39Z,Sports Event
http://www.wikidata.org/entity/Q2708082,1930 Far Eastern Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4,11,,2024-11-21T17:33:14Z,Sports Event
http://www.wikidata.org/entity/Q4583219,1986 South American Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,969,6,,2023-06-02T02:03:06Z,Sports Event
http://www.wikidata.org/entity/Q3178315,1979 Indian Ocean Island Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,5,3,,2024-11-21T17:33:05Z,Sports Event
http://www.wikidata.org/entity/Q11711502,2019 Pacific Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,5000,12,,2024-07-04T15:59:15Z,Sports Event
http://www.wikidata.org/entity/Q2708093,1923 Far Eastern Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3,13,,2024-11-21T17:33:22Z,Sports Event
http://www.wikidata.org/entity/Q2000562,1993 Mediterranean Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2598,19,,2024-07-24T20:55:54Z,Sports Event
http://www.wikidata.org/entity/Q3558601,2001 Goodwill Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1300,6,,2024-09-18T15:14:48Z,Sports Event
http://www.wikidata.org/entity/Q4630350,2017 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4646,17,,2024-11-21T17:32:45Z,Sports Event
http://www.wikidata.org/entity/Q4630350,2017 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11,17,,2024-11-21T17:32:45Z,Sports Event
http://www.wikidata.org/entity/Q1370900,2003 Asian Winter Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,641,23,,2024-11-21T17:28:08Z,Sports Event
http://www.wikidata.org/entity/Q4629476,2013 Islamic Solidarity Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,41,16,,2024-03-31T03:11:11Z,Sports Event
http://www.wikidata.org/entity/Q1371882,2013 Summer Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11759,30,,2024-08-24T13:14:01Z,Sports Event
http://www.wikidata.org/entity/Q1209340,2007 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,5282,16,,2024-11-21T17:32:43Z,Sports Event
http://www.wikidata.org/entity/Q1209307,2013 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11,18,,2024-11-21T17:32:41Z,Sports Event
http://www.wikidata.org/entity/Q1348559,2014 Asian Beach Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,42,13,,2022-10-06T12:30:21Z,Sports Event
http://www.wikidata.org/entity/Q1116512,1990 Commonwealth Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2074,18,,2024-07-31T10:38:29Z,Sports Event
http://www.wikidata.org/entity/Q1116999,2014 Commonwealth Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4947,33,,2024-09-18T14:11:35Z,Sports Event
http://www.wikidata.org/entity/Q1136419,2015 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11,16,,2024-11-21T17:32:45Z,Sports Event
http://www.wikidata.org/entity/Q30323998,2018 World Lacrosse Championship,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,46,4,,2024-06-09T14:11:34Z,Sports Event
http://www.wikidata.org/entity/Q1317775,1965 Southeast Asian Peninsular Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,7,16,,2024-11-21T17:32:59Z,Sports Event
http://www.wikidata.org/entity/Q1116471,1986 Commonwealth Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1660,19,,2024-07-31T10:38:22Z,Sports Event
http://www.wikidata.org/entity/Q1209302,1997 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,10,15,,2024-11-21T17:32:37Z,Sports Event
http://www.wikidata.org/entity/Q1186151,2017 Asian Winter Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1147,24,,2024-10-07T22:02:13Z,Sports Event
http://www.wikidata.org/entity/Q1353812,1989 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,681,17,,2024-08-14T07:46:59Z,Sports Event
http://www.wikidata.org/entity/Q1209302,1997 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4696,15,,2024-11-21T17:32:37Z,Sports Event
http://www.wikidata.org/entity/Q1209615,1917 Far Eastern Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3,13,,2024-11-21T17:33:23Z,Sports Event
http://www.wikidata.org/entity/Q1209307,2013 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4370,18,,2024-11-21T17:32:41Z,Sports Event
http://www.wikidata.org/entity/Q1353662,1975 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,191,16,,2024-11-21T13:27:48Z,Sports Event
http://www.wikidata.org/entity/Q1136419,2015 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4370,16,,2024-11-21T17:32:45Z,Sports Event
http://www.wikidata.org/entity/Q1203233,1951 Pan American Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2513,19,,2024-01-26T09:00:05Z,Sports Event
http://www.wikidata.org/entity/Q1192491,1999 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2365,16,,2024-11-21T17:32:36Z,Sports Event
http://www.wikidata.org/entity/Q1151263,1973 Summer Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4000,22,,2024-08-24T13:26:55Z,Sports Event
http://www.wikidata.org/entity/Q48964749,2018 FIVB Volleyball Men's Nations League,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,16,15,,2024-06-04T11:07:34Z,Sports Event
http://www.wikidata.org/entity/Q1315779,World Games 1997,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2600,16,,2024-03-31T01:46:32Z,Sports Event
http://www.wikidata.org/entity/Q1144097,2011 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,5965,17,,2024-11-21T17:32:46Z,Sports Event
http://www.wikidata.org/entity/Q1370021,1995 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,10,15,,2024-11-21T17:32:36Z,Sports Event
http://www.wikidata.org/entity/Q1353585,1962 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,332,17,,2024-07-27T01:19:33Z,Sports Event
http://www.wikidata.org/entity/Q1352152,1964 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,410,17,,2023-10-21T03:59:42Z,Sports Event
http://www.wikidata.org/entity/Q1208432,1966 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,434,17,,2023-10-24T13:08:31Z,Sports Event
http://www.wikidata.org/entity/Q1315733,World Games 1981,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1265,18,,2024-11-04T19:04:27Z,Sports Event
http://www.wikidata.org/entity/Q1209909,2018 Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,45,52,,2024-11-21T17:33:33Z,Sports Event
http://www.wikidata.org/entity/Q1193677,2009 Asian Indoor Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2456,14,,2024-03-31T01:45:02Z,Sports Event
http://www.wikidata.org/entity/Q1209324,1979 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,7,16,,2024-11-21T17:32:56Z,Sports Event
http://www.wikidata.org/entity/Q1280952,2005 Games of the Small States of Europe,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,793,10,,2024-03-31T01:46:05Z,Sports Event
http://www.wikidata.org/entity/Q1317796,1971 Southeast Asian Peninsular Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,7,15,,2024-11-21T17:32:55Z,Sports Event
http://www.wikidata.org/entity/Q1369995,1991 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,9,15,,2024-11-21T17:32:48Z,Sports Event
http://www.wikidata.org/entity/Q1317803,1975 Southeast Asian Peninsular Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4,15,,2024-11-21T17:32:34Z,Sports Event
http://www.wikidata.org/entity/Q28667039,2016 Russian Bandy Women's Cup,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4,1,,2021-03-26T14:09:38Z,Sports Event
http://www.wikidata.org/entity/Q1209347,1987 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,8,15,,2024-11-21T17:32:54Z,Sports Event
http://www.wikidata.org/entity/Q1186408,2004 Pan Arab Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3240,9,,2024-03-31T01:44:59Z,Sports Event
http://www.wikidata.org/entity/Q1330680,1990 Asian Winter Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,310,24,,2024-10-07T22:06:41Z,Sports Event
http://www.wikidata.org/entity/Q1196008,1981 Summer Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2912,20,,2024-08-24T13:31:56Z,Sports Event
http://www.wikidata.org/entity/Q1116581,1998 Commonwealth Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3638,19,,2024-07-31T10:38:56Z,Sports Event
http://www.wikidata.org/entity/Q1192491,1999 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,10,16,,2024-11-21T17:32:36Z,Sports Event
http://www.wikidata.org/entity/Q1209909,2018 Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11720,52,,2024-11-21T17:33:33Z,Sports Event
http://www.wikidata.org/entity/Q1351796,1968 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,589,19,,2024-02-19T11:39:11Z,Sports Event
http://www.wikidata.org/entity/Q1193792,1989 Summer Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1785,17,,2024-08-24T13:33:52Z,Sports Event
http://www.wikidata.org/entity/Q1209315,1993 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,9,15,,2024-11-21T17:32:49Z,Sports Event
http://www.wikidata.org/entity/Q1353646,1981 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,583,15,,2023-10-09T09:04:01Z,Sports Event
http://www.wikidata.org/entity/Q1370007,1989 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,9,15,,2024-11-21T17:32:50Z,Sports Event
http://www.wikidata.org/entity/Q1317784,1967 Southeast Asian Peninsular Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,6,15,,2024-11-21T17:32:51Z,Sports Event
http://www.wikidata.org/entity/Q1196659,1996 Asian Winter Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,453,23,,2024-10-07T22:06:56Z,Sports Event
http://www.wikidata.org/entity/Q45915291,2017 Bertsolari competition,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,43,2,,2023-12-17T08:32:36Z,Sports Event
http://www.wikidata.org/entity/Q31187909,Q31187909,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,18,1,,2023-12-03T19:51:26Z,Sports Event
http://www.wikidata.org/entity/Q48324248,IIHF World U20 Championship Division II,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,12,3,,2024-11-04T19:44:15Z,Sports Event
http://www.wikidata.org/entity/Q48965958,CTFA International Tournament,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,4,2,,2023-11-10T06:07:38Z,Sports Event
http://www.wikidata.org/entity/Q1186538,World Games 1985,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1550,16,,2024-03-31T01:45:00Z,Sports Event
http://www.wikidata.org/entity/Q1351808,1972 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,410,16,,2024-11-21T12:24:50Z,Sports Event
