player,playerLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q28966,Tomislav Kiš,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,180,centimetre,16
http://www.wikidata.org/entity/Q27822,Paul Lasne,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,14
http://www.wikidata.org/entity/Q27755,Toni Doblas,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,184,centimetre,21
http://www.wikidata.org/entity/Q27791,François Marque,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,187,centimetre,13
http://www.wikidata.org/entity/Q27789,Yannick Cahuzac,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,178,centimetre,19
http://www.wikidata.org/entity/Q27836,Frédéric Sammaritano,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,162,centimetre,14
http://www.wikidata.org/entity/Q29497,Carl Jenkinson,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,185,centimetre,38
http://www.wikidata.org/entity/Q31287,Ivo Ulich,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,172,centimetre,45
http://www.wikidata.org/entity/Q31775,Yoan Gouffran,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,176,centimetre,30
http://www.wikidata.org/entity/Q29062,Iulian Filipescu,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,187,centimetre,24
http://www.wikidata.org/entity/Q28801,Yu Hai,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,21
http://www.wikidata.org/entity/Q29097,Renato Dirnei Florêncio,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,177,centimetre,29
http://www.wikidata.org/entity/Q31564,Hakan Balta,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,184,centimetre,38
http://www.wikidata.org/entity/Q31757,Abdou Traoré,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,179,centimetre,21
http://www.wikidata.org/entity/Q29162,Tomáš Rosický,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,180,centimetre,61
http://www.wikidata.org/entity/Q29649,Cicinho,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,173,centimetre,18
http://www.wikidata.org/entity/Q31744,Cheick Diabaté,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,194,centimetre,28
http://www.wikidata.org/entity/Q27808,Jérémy Choplin,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,9
http://www.wikidata.org/entity/Q31792,Landry Nguémo,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,173,centimetre,31
http://www.wikidata.org/entity/Q27889,Mikel Balenziaga,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,1.77,metre,30
http://www.wikidata.org/entity/Q27768,Felipe Saad,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,187,centimetre,14
http://www.wikidata.org/entity/Q27770,Sylvain Marchal,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,184,centimetre,14
http://www.wikidata.org/entity/Q29467,Christian Vargas,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,177,centimetre,10
http://www.wikidata.org/entity/Q31443,Hadi Sacko,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,18
http://www.wikidata.org/entity/Q31664,Reto Ziegler,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,35
http://www.wikidata.org/entity/Q27856,Anthony Lippini,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,175,centimetre,11
http://www.wikidata.org/entity/Q27865,Gaëtan Varenne,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,1.87,metre,10
http://www.wikidata.org/entity/Q27805,Arnaud Maire,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,181,centimetre,10
http://www.wikidata.org/entity/Q27886,Landry Bonnefoi,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,184,centimetre,17
http://www.wikidata.org/entity/Q27756,Raúl Goni,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,186,centimetre,14
http://www.wikidata.org/entity/Q27794,Wahbi Khazri,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,182,centimetre,44
