venue,venueLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q1347442,Moda Center,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,19980,1,29,,2024-09-21T08:35:34Z
http://www.wikidata.org/entity/Q1121555,Guillermo Prospero Trinidad Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5500,1,15,,2024-03-04T19:58:51Z
http://www.wikidata.org/entity/Q115970,Arena Garibaldi – Stadio Romeo Anconetani,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,25000,1,11,,2024-02-06T07:23:44Z
http://www.wikidata.org/entity/Q387213,Stade Raymond Kopa,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,18000,1,19,,2023-12-08T10:31:37Z
http://www.wikidata.org/entity/Q1323781,El-Kanemi Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10000,1,7,,2024-11-23T23:08:12Z
http://www.wikidata.org/entity/Q123017,Carrow Road,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,27244,1,41,,2024-07-09T11:46:54Z
http://www.wikidata.org/entity/Q431552,Meneng Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,3500,1,9,,2023-05-30T18:40:19Z
http://www.wikidata.org/entity/Q199359,Camping World Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,65438,1,24,,2024-07-18T19:52:52Z
http://www.wikidata.org/entity/Q1305305,Håkons Hall,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,11500,1,14,,2024-06-08T09:27:31Z
http://www.wikidata.org/entity/Q32969,Skonto Hall,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,6500,1,21,,2022-05-23T02:31:15Z
http://www.wikidata.org/entity/Q576502,Főnix Aréna,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,8500,1,8,,2024-10-29T10:02:53Z
http://www.wikidata.org/entity/Q2420704,Icahn Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5000,1,7,,2024-07-25T23:07:01Z
http://www.wikidata.org/entity/Q549018,Stadionul Municipal,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,9240,1,7,,2024-05-06T06:52:43Z
http://www.wikidata.org/entity/Q3623321,Gradski Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,19960,1,8,,2024-01-13T05:42:00Z
http://www.wikidata.org/entity/Q529712,Ifjabb Ocskay Gábor Ice Hall,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,3500,1,7,,2023-05-31T11:25:12Z
http://www.wikidata.org/entity/Q3557958,Viejas Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,12414,1,9,,2024-05-15T23:58:13Z
http://www.wikidata.org/entity/Q3622944,Ogosta Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,8000,1,7,,2024-01-09T12:13:59Z
http://www.wikidata.org/entity/Q1142586,Ford Field,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,70000,1,30,,2024-04-26T15:40:30Z
http://www.wikidata.org/entity/Q1142586,Ford Field,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,65000,1,30,,2024-04-26T15:40:30Z
http://www.wikidata.org/entity/Q593076,Rođeni Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,7000,1,12,,2024-02-08T11:08:51Z
http://www.wikidata.org/entity/Q517545,Nationals Park,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,41418,1,23,,2024-09-17T06:55:49Z
http://www.wikidata.org/entity/Q606803,Arena da Baixada,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,28413,1,43,,2024-09-20T05:23:03Z
