entity,entityLabel,category,property,propertyLabel,year,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q1377132,Kieft's War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1643,12,,2024-11-13T03:33:54Z
http://www.wikidata.org/entity/Q1456086,Nez Perce War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1877,12,,2024-12-16T07:37:00Z
http://www.wikidata.org/entity/Q1373706,Ayutthayan–Cambodian War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1591,8,,2022-08-01T12:07:12Z
http://www.wikidata.org/entity/Q1632880,Burmese–Siamese War of 1759–60,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1759,8,,2023-12-22T12:21:04Z
http://www.wikidata.org/entity/Q1269777,Dano-Swedish War of 1808-1809,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1808,18,,2024-11-13T17:36:36Z
http://www.wikidata.org/entity/Q1758978,Burmese–Siamese War of 1775–76,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1775,6,,2024-01-31T18:27:34Z
http://www.wikidata.org/entity/Q1455917,Umayyad conquest of Hispania,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,711,44,,2024-11-13T03:34:03Z
http://www.wikidata.org/entity/Q1672808,Irish Confederate Wars,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1641,15,,2024-11-13T03:39:59Z
http://www.wikidata.org/entity/Q1367731,Saudi–Yemeni war,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1934,15,,2024-11-13T03:33:51Z
http://www.wikidata.org/entity/Q1552718,Granada War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1482,33,,2024-11-27T23:35:51Z
http://www.wikidata.org/entity/Q1249270,Third Sacred War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,-355,18,,2024-12-01T13:04:09Z
http://www.wikidata.org/entity/Q1202331,Germany Unification War,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1864,4,,2024-12-11T09:20:53Z
http://www.wikidata.org/entity/Q1209169,War in Abkhazia,History,http://www.wikidata.org/prop/direct/P580,http://www.wikidata.org/prop/direct/P580,1992,36,,2024-12-10T20:36:01Z
