entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q16422,Hurricane Katrina,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,108000000000,United States dollar,75,,2024-10-10T12:14:10Z
http://www.wikidata.org/entity/Q3005548,1910 Great Flood of Paris,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,400000000,gold franc,16,,2024-11-21T14:28:12Z
http://www.wikidata.org/entity/Q20747211,Typhoon Soudelor,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,4090000000,dollar,20,,2023-08-15T08:28:37Z
http://www.wikidata.org/entity/Q40178187,Hurricane Maria,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,91610000000,United States dollar,32,,2024-10-30T12:59:46Z
http://www.wikidata.org/entity/Q57082056,Hurricane Michael,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,14580000000,United States dollar,27,,2024-10-09T10:32:23Z
http://www.wikidata.org/entity/Q1140155,Great Train Robbery,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,2595997,pound sterling,27,,2024-04-21T08:04:27Z
http://www.wikidata.org/entity/Q98073118,2020 Beirut explosions,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,15000000000,United States dollar,80,,2024-10-27T16:10:31Z
http://www.wikidata.org/entity/Q859770,2000 Mozambique flood,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,500000000,United States dollar,18,,2024-07-12T00:21:48Z
http://www.wikidata.org/entity/Q211386,1906 San Francisco earthquake,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,400000000,United States dollar,49,,2024-11-04T18:48:38Z
http://www.wikidata.org/entity/Q21035207,Hurricane Joaquin,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,200000000,United States dollar,13,,2024-10-09T02:56:58Z
http://www.wikidata.org/entity/Q737890,Hurricane Rita,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,12000000000,United States dollar,27,,2024-10-07T14:05:46Z
http://www.wikidata.org/entity/Q4634328,300 million yen robbery,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,294307500,yen,12,,2024-06-16T01:19:12Z
http://www.wikidata.org/entity/Q62027184,Boeing 737 MAX groundings,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,5600000000,United States dollar,14,,2024-06-07T03:03:07Z
http://www.wikidata.org/entity/Q1140155,Great Train Robbery,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,2631000,pound sterling,27,,2024-04-21T08:04:27Z
http://www.wikidata.org/entity/Q107596384,2021 Henan floods,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,82000000000,renminbi,20,,2024-07-20T00:06:14Z
http://www.wikidata.org/entity/Q24004490,2016 Fort McMurray Wildfire,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,3580000,Canadian dollar,23,,2022-05-05T05:26:54Z
http://www.wikidata.org/entity/Q24004490,2016 Fort McMurray Wildfire,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,3650000000,Canadian dollar,23,,2022-05-05T05:26:54Z
http://www.wikidata.org/entity/Q15581374,2014 North American polar vortex,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,5000000000,United States dollar,13,,2024-01-20T21:18:37Z
http://www.wikidata.org/entity/Q63399407,Cyclone Fani,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,8500000,United States dollar,24,,2024-04-27T16:03:24Z
http://www.wikidata.org/entity/Q36204,2011 The Great East (tohoku) earthquake and tsunami,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,16900000000000,yen,92,,2024-11-07T22:31:11Z
http://www.wikidata.org/entity/Q264,Hurricane Sandy,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,68680000000,United States dollar,55,,2024-11-02T19:27:35Z
http://www.wikidata.org/entity/Q36204,2011 The Great East (tohoku) earthquake and tsunami,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,21500000000000,yen,92,,2024-11-07T22:31:11Z
http://www.wikidata.org/entity/Q392603,Hurricane Ike,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,38000000000,United States dollar,32,,2024-10-09T03:14:05Z
http://www.wikidata.org/entity/Q111263729,2022 Fukushima earthquake,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,30051168000,yen,25,,2024-03-04T13:07:33Z
http://www.wikidata.org/entity/Q26689701,August 2016 Central Italy earthquake,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,4000000000,Euro,47,,2024-05-15T18:44:39Z
http://www.wikidata.org/entity/Q27058656,Hurricane Matthew,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,15088000000,United States dollar,32,,2024-10-16T15:57:10Z
http://www.wikidata.org/entity/Q62023294,Cyclone Idai,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/.well-known/genid/1b0f0a5eba1064c4c5152cf32219d947,,24,,2024-07-24T12:07:11Z
http://www.wikidata.org/entity/Q111014585,2022 Sumatra earthquake,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,780000000,rupiah,18,,2024-06-11T14:48:36Z
http://www.wikidata.org/entity/Q66764432,Hurricane Dorian,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,7000000000,United States dollar,28,,2024-10-10T12:16:51Z
http://www.wikidata.org/entity/Q16879871,2014 Southeast Europe floods,History,http://www.wikidata.org/prop/direct/P2630,http://www.wikidata.org/prop/direct/P2630,1000000000000,Euro,27,,2024-11-04T19:46:16Z
