entity,entityLabel,category,property,propertyLabel,value,currencyLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q221345,Batman Forever,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,336567158,United States dollar,54,,2024-11-13T11:32:48Z
http://www.wikidata.org/entity/Q108946,A Few Good Men,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,243200000,United States dollar,46,,2024-11-23T22:43:18Z
http://www.wikidata.org/entity/Q188850,Mamma Mia!,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,609896805,United States dollar,56,,2024-11-03T12:08:47Z
http://www.wikidata.org/entity/Q219776,X2,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,407700000,United States dollar,60,,2024-11-23T13:01:32Z
http://www.wikidata.org/entity/Q172271,Maleficent,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,758410378,United States dollar,61,,2024-12-01T21:13:40Z
http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,272742922,United States dollar,97,,2024-12-06T22:01:05Z
http://www.wikidata.org/entity/Q270351,American Gangster,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,266500000,United States dollar,54,,2024-11-04T12:54:23Z
http://www.wikidata.org/entity/Q41483,"The Good, the Bad and the Ugly",Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,38900000,United States dollar,88,,2024-11-14T15:41:04Z
http://www.wikidata.org/entity/Q44447,Michael Jackson's This Is It,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,261200000,United States dollar,33,,2024-11-23T23:22:04Z
http://www.wikidata.org/entity/Q222800,Knocked Up,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,219100000,United States dollar,42,,2024-11-19T07:53:54Z
http://www.wikidata.org/entity/Q200804,Predator,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,98268458,United States dollar,64,,2024-11-24T13:57:03Z
http://www.wikidata.org/entity/Q274748,The Hangover Part II,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,586764305,United States dollar,44,,2024-12-03T08:20:15Z
http://www.wikidata.org/entity/Q222018,Total Recall,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,261299840,United States dollar,52,,2024-11-15T13:07:28Z
http://www.wikidata.org/entity/Q270215,Contact,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,171120329,United States dollar,56,,2024-12-01T17:34:55Z
http://www.wikidata.org/entity/Q104814,Aliens,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,131060248,United States dollar,67,,2024-11-29T18:45:17Z
http://www.wikidata.org/entity/Q246283,Frozen,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,1281508100,United States dollar,107,,2024-11-26T13:09:27Z
http://www.wikidata.org/entity/Q246283,Frozen,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,1274219009,United States dollar,107,,2024-11-26T13:09:27Z
http://www.wikidata.org/entity/Q24871,Avatar,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,2847379794,United States dollar,121,,2024-11-25T04:38:11Z
http://www.wikidata.org/entity/Q118713,Freaky Friday,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,160846332,United States dollar,38,,2024-12-01T15:08:12Z
http://www.wikidata.org/entity/Q188439,Tangled,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,591794936,United States dollar,89,,2024-11-26T13:22:21Z
http://www.wikidata.org/entity/Q201819,District 9,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,210888950,United States dollar,55,,2024-11-17T16:32:03Z
http://www.wikidata.org/entity/Q189505,Jaws,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,471411300,United States dollar,69,,2024-11-20T06:22:07Z
http://www.wikidata.org/entity/Q822057,Primal Fear,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,102616183,United States dollar,40,,2024-11-19T10:11:05Z
http://www.wikidata.org/entity/Q1417187,Barnacle Bill,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,950000,United States dollar,6,,2024-11-14T11:47:14Z
http://www.wikidata.org/entity/Q495850,The Croods,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,587204668,United States dollar,59,,2024-11-10T15:41:44Z
http://www.wikidata.org/entity/Q165713,Star Wars: Episode I – The Phantom Menace,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,1027082707,United States dollar,89,,2024-11-30T10:41:02Z
http://www.wikidata.org/entity/Q219170,Day of the Dead,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,34004262,United States dollar,28,,2024-11-07T08:30:06Z
http://www.wikidata.org/entity/Q156608,The Bourne Supremacy,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,290835269,United States dollar,58,,2024-11-22T13:45:01Z
http://www.wikidata.org/entity/Q607363,This Is the End,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,126041322,United States dollar,42,,2024-11-26T13:32:30Z
http://www.wikidata.org/entity/Q1129381,The X-Files,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,189176423,United States dollar,28,,2024-10-30T02:14:45Z
http://www.wikidata.org/entity/Q186341,The Shining,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,47299460,United States dollar,73,,2024-11-30T15:41:19Z
http://www.wikidata.org/entity/Q468484,The Longest Day,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,50000000,United States dollar,45,,2024-11-07T08:33:30Z
http://www.wikidata.org/entity/Q392806,Where Eagles Dare,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,21000000,United States dollar,31,,2024-11-06T06:04:02Z
http://www.wikidata.org/entity/Q510864,Timecrimes,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,564474,United States dollar,22,,2024-11-15T13:28:17Z
http://www.wikidata.org/entity/Q488169,Memories of Murder,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,1166717,United States dollar,36,,2024-11-26T13:51:46Z
http://www.wikidata.org/entity/Q1003128,Eastern Condors,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,21606063,Hong Kong dollar,9,,2024-11-18T11:55:49Z
