entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q15821,Iota Ceti,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.78,solar mass,16
http://www.wikidata.org/entity/Q186053,Q186053,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.148,solar mass,24
http://www.wikidata.org/entity/Q4957,NML Cygni,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,50,solar mass,36
http://www.wikidata.org/entity/Q73894,Alpha1 Capricorni,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,5.3,solar mass,14
http://www.wikidata.org/entity/Q13337,Beta Herculis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.9,solar mass,27
http://www.wikidata.org/entity/Q14246,Gamma Draconis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.72,solar mass,31
http://www.wikidata.org/entity/Q14207,Zeta Leonis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,3,solar mass,21
http://www.wikidata.org/entity/Q14248,Delta Scorpii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,13,solar mass,24
http://www.wikidata.org/entity/Q382979,hot Jupiter,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.1,Jupiter mass,45
http://www.wikidata.org/entity/Q136235,Delta Lupi,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,11.9,solar mass,15
http://www.wikidata.org/entity/Q14236,Theta Scorpii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,3.7,solar mass,30
http://www.wikidata.org/entity/Q15711,Alpha Equulei,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.3,solar mass,25
