entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q12975,Altair,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,9000,centimetre per square second,67
http://www.wikidata.org/entity/Q14229,Eta Centauri,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,9000,centimetre per square second,23
http://www.wikidata.org/entity/Q169398,Beta Camelopardalis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,112,centimetre per square second,23
http://www.wikidata.org/entity/Q14022,Gamma Boötis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,5500,centimetre per square second,23
http://www.wikidata.org/entity/Q13415,Beta Canis Majoris,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,2700,centimetre per square second,30
http://www.wikidata.org/entity/Q139390,HD 37124,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,23400,centimetre per square second,19
http://www.wikidata.org/entity/Q254880,Q254880,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,47000,centimetre per square second,12
http://www.wikidata.org/entity/Q13243,Beta Aquarii,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,12,centimetre per square second,28
http://www.wikidata.org/entity/Q135642,Q135642,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,22000,centimetre per square second,9
http://www.wikidata.org/entity/Q130691,Q130691,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,22860,centimetre per square second,6
http://www.wikidata.org/entity/Q262076,70 Virginis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,7820,centimetre per square second,22
http://www.wikidata.org/entity/Q135520,10 Lacertae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,7800,centimetre per square second,13
http://www.wikidata.org/entity/Q136713,Epsilon Lupi,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,13500,centimetre per square second,12
http://www.wikidata.org/entity/Q14215,Alpha Pyxidis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,4300,centimetre per square second,20
http://www.wikidata.org/entity/Q243233,53 Eridani,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,470,centimetre per square second,16
http://www.wikidata.org/entity/Q13347,Delta Herculis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,2950,centimetre per square second,18
http://www.wikidata.org/entity/Q14044,Pi Sagittarii,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,162,centimetre per square second,21
http://www.wikidata.org/entity/Q238270,4 Ursae Majoris,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,120,centimetre per square second,15
http://www.wikidata.org/entity/Q14208,Eta Leonis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,130,centimetre per square second,19
http://www.wikidata.org/entity/Q3599178,49 Librae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,8100,centimetre per square second,9
http://www.wikidata.org/entity/Q384356,55 Arietis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,887,centimetre per square second,8
http://www.wikidata.org/entity/Q3598853,31 Orionis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,42,centimetre per square second,10
http://www.wikidata.org/entity/Q384288,85 Pegasi,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,35000,centimetre per square second,13
http://www.wikidata.org/entity/Q284907,Chi1 Orionis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,27500,centimetre per square second,21
http://www.wikidata.org/entity/Q549906,Gliese 146,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,55000,centimetre per square second,12
http://www.wikidata.org/entity/Q855428,Kepler-6,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,14220,centimetre per square second,16
http://www.wikidata.org/entity/Q3599110,43 Sagittarii,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,123,centimetre per square second,6
http://www.wikidata.org/entity/Q15713,Zeta Draconis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,3700,centimetre per square second,17
http://www.wikidata.org/entity/Q852289,Q852289,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,38000,centimetre per square second,6
http://www.wikidata.org/entity/Q15819,Gamma Ceti,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,9100,centimetre per square second,20
http://www.wikidata.org/entity/Q15711,Alpha Equulei,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,10200,centimetre per square second,25
http://www.wikidata.org/entity/Q379214,Alpha Sagittae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,224,centimetre per square second,19
http://www.wikidata.org/entity/Q384330,Q384330,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,13800,centimetre per square second,9
http://www.wikidata.org/entity/Q3597313,12 Canis Majoris,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,8000,centimetre per square second,12
http://www.wikidata.org/entity/Q671002,89 Aquarii,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,1800,centimetre per square second,10
http://www.wikidata.org/entity/Q356632,Xi Andromedae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,450,centimetre per square second,22
http://www.wikidata.org/entity/Q4042142,Kepler-28,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,38700,centimetre per square second,8
http://www.wikidata.org/entity/Q845609,Q845609,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,25900,centimetre per square second,15
http://www.wikidata.org/entity/Q15714,Thuban,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,9000,centimetre per square second,32
http://www.wikidata.org/entity/Q584842,OGLE-TR-111,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,17400,centimetre per square second,14
http://www.wikidata.org/entity/Q4039958,Q4039958,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,38000,centimetre per square second,6
http://www.wikidata.org/entity/Q868692,Van Maanen's star,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,145000000,centimetre per square second,30
http://www.wikidata.org/entity/Q15709,Alpha Columbae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,3160,centimetre per square second,26
http://www.wikidata.org/entity/Q906905,V509 Cassiopeiae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,33,centimetre per square second,21
http://www.wikidata.org/entity/Q285279,Tau1 Gruis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,12600,centimetre per square second,14
http://www.wikidata.org/entity/Q279729,Q279729,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,2037,centimetre per square second,7
http://www.wikidata.org/entity/Q545631,Q545631,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,32660,centimetre per square second,10
