entity,entityLabel,category,property,propertyLabel,value,author,authorLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q51508321,"The natural history of many curious and uncommon zoophytes, collected from various parts of the globe",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,370,http://www.wikidata.org/entity/Q934747,John Ellis,1,,2023-03-13T12:38:59Z
http://www.wikidata.org/entity/Q51508321,"The natural history of many curious and uncommon zoophytes, collected from various parts of the globe",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,370,http://www.wikidata.org/entity/Q39789,Daniel Solander,1,,2023-03-13T12:38:59Z
http://www.wikidata.org/entity/Q51393152,A monograph of the British fossil corals,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,736,http://www.wikidata.org/entity/Q3188645,Jules Haime,1,,2023-03-13T10:28:48Z
http://www.wikidata.org/entity/Q58021395,The Breakdown of Nations,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,244,http://www.wikidata.org/entity/Q113659,Leopold Kohr,2,,2024-10-15T05:35:28Z
http://www.wikidata.org/entity/Q56526684,La magie blanche de Saint-Pétersbourg,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,176,http://www.wikidata.org/entity/Q442505,Dominique Fernandez,1,,2022-11-27T13:55:05Z
http://www.wikidata.org/entity/Q54573008,"Monographia anoplurorum Britanniae or An essay on the British species of parasitic insects belonging to the order of Anoplura of Leach, with the modern divisions of the general according to the views of Leach, Nitzsch, and Burmeister",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,262,http://www.wikidata.org/entity/Q17308950,Henry Denny,1,,2023-02-13T05:31:35Z
http://www.wikidata.org/entity/Q51379232,Der Vogelflug als Grundlage der Fliegekunst,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,238,http://www.wikidata.org/entity/Q57162,Otto Lilienthal,1,,2023-03-13T10:15:51Z
http://www.wikidata.org/entity/Q59620038,Studies on the ectoparasitic trematodes of Japan,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,273,http://www.wikidata.org/entity/Q11372324,Seitarō Gotō,1,,2022-09-16T01:55:02Z
http://www.wikidata.org/entity/Q51377531,"Refugium botanicum : or figures and descriptions from living specimens, of little known or new plants of botanical interest",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,346,http://www.wikidata.org/entity/Q1223057,William Wilson Saunders,2,,2023-03-16T03:55:00Z
http://www.wikidata.org/entity/Q51415695,"Systême des animaux sans vertèbres, ou Tableau général des classes, des classes, des ordres et des genres de ces animaux",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,472,http://www.wikidata.org/entity/Q82122,Jean-Baptiste de Lamarck,1,,2022-11-10T01:49:25Z
http://www.wikidata.org/entity/Q51508692,A naturalist's rambles on the Devonshire coast,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,554,http://www.wikidata.org/entity/Q443062,Philip Henry Gosse,1,,2023-03-13T12:39:23Z
