entity,entityLabel,category,property,propertyLabel,value,currencyLabel,publicationDate,artist,artistLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q113033647,Ritratto di donna orientale,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,3000,Euro,,http://www.wikidata.org/entity/Q20683952,Vincenzo Cinque,0,,2022-07-18T15:25:45Z
http://www.wikidata.org/entity/Q17341792,Histoire ancienne jusqu'à César,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,208000,Euro,,,,0,,2023-12-01T15:52:13Z
http://www.wikidata.org/entity/Q25217667,"No. 6 (Violet, Green and Red)",Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,140000000,Euro,,http://www.wikidata.org/entity/Q160149,Mark Rothko,2,,2024-11-20T12:37:05Z
http://www.wikidata.org/entity/Q28110219,Oarsman in a Top Hat,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,43000000,Euro,,http://www.wikidata.org/entity/Q295144,Gustave Caillebotte,5,,2024-11-14T18:58:55Z
http://www.wikidata.org/entity/Q30084726,Aspects of Time (Santomaso),Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,240750,Euro,,http://www.wikidata.org/entity/Q470405,Giuseppe Santomaso,0,,2024-10-31T13:43:09Z
http://www.wikidata.org/entity/Q41629450,At the foot of the glacier,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,102250,Euro,,http://www.wikidata.org/entity/Q3749980,Francesco Filippini,3,,2024-03-21T12:07:05Z
http://www.wikidata.org/entity/Q94901651,A Venetian water fete,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,158000,Euro,,http://www.wikidata.org/entity/Q3620122,Antonio Rotta,2,,2023-06-19T21:56:09Z
http://www.wikidata.org/entity/Q115390601,Portrait of Alexander VII Chigi,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,706400,Euro,,http://www.wikidata.org/entity/Q1192715,Pier Francesco Mola,0,,2022-12-24T00:26:06Z
http://www.wikidata.org/entity/Q123556369,The Mediator,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,1035000,Euro,,http://www.wikidata.org/entity/Q23040567,Kirsi Kaulanen,1,,2023-11-27T10:59:21Z
http://www.wikidata.org/entity/Q125907087,Q125907087,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,8320,Euro,,http://www.wikidata.org/entity/Q1467409,Fritz Allemand,0,,2024-05-19T12:36:47Z
http://www.wikidata.org/entity/Q125907440,Q125907440,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,19050,Euro,,http://www.wikidata.org/entity/Q26152929,Emil Holárek,0,,2024-05-12T19:43:09Z
http://www.wikidata.org/entity/Q125983549,Portrait of Ladislaus Pyrker,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,3750,Euro,,http://www.wikidata.org/entity/Q776508,Josef Danhauser,0,,2024-05-19T12:45:12Z
http://www.wikidata.org/entity/Q1267893,Ginevra de' Benci,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,5000000,United States dollar,,http://www.wikidata.org/entity/Q762,Leonardo da Vinci,36,,2024-11-26T02:10:28Z
http://www.wikidata.org/entity/Q1892745,Salvator Mundi,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,450312500,United States dollar,,http://www.wikidata.org/entity/Q762,Leonardo da Vinci,46,,2024-10-11T12:57:29Z
http://www.wikidata.org/entity/Q3061886,Execution,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,5000,United States dollar,,http://www.wikidata.org/entity/Q1132877,Yue Minjun,3,,2024-10-31T14:35:52Z
http://www.wikidata.org/entity/Q3235752,Les Tilleuls à Poissy,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,1650500,United States dollar,,http://www.wikidata.org/entity/Q296,Claude Monet,1,,2021-07-03T19:42:33Z
http://www.wikidata.org/entity/Q3713986,"Women of Algiers, O version",Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,179400000,United States dollar,,http://www.wikidata.org/entity/Q5593,Pablo Picasso,1,,2024-10-31T14:46:57Z
http://www.wikidata.org/entity/Q3877556,Nu couché,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,170405000,United States dollar,,http://www.wikidata.org/entity/Q120993,Amedeo Modigliani,18,,2024-10-02T00:27:32Z
http://www.wikidata.org/entity/Q3879263,Reclining nude (on the left side) (Amedeo Modigliani),Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,157159000,United States dollar,,http://www.wikidata.org/entity/Q120993,Amedeo Modigliani,5,,2024-08-21T12:50:19Z
http://www.wikidata.org/entity/Q7916476,Vase with White and Red Carnations,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,1350000,United States dollar,,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,5,,2024-11-18T02:44:08Z
http://www.wikidata.org/entity/Q15148999,Three Studies of Lucian Freud,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,142400000,United States dollar,,http://www.wikidata.org/entity/Q154340,Francis Bacon,11,,2024-10-27T17:29:09Z
http://www.wikidata.org/entity/Q24045493,Him,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,17000000,United States dollar,,http://www.wikidata.org/entity/Q655398,Maurizio Cattelan,3,,2023-02-24T09:41:24Z
http://www.wikidata.org/entity/Q26221170,Wooden Sheds,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,71350000,United States dollar,,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,1,,2022-02-05T03:29:55Z
http://www.wikidata.org/entity/Q26221172,Enclosed Field with Ploughman,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,81312500,United States dollar,,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,2,,2024-07-15T00:44:47Z
http://www.wikidata.org/entity/Q26221186,Landscape with Olive Tree and Mountains in the Background,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,51915000,United States dollar,,http://www.wikidata.org/entity/Q5582,Vincent van Gogh,1,,2022-06-23T12:46:34Z
http://www.wikidata.org/entity/Q32312033,Marquis de Lafayette,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,1360000,United States dollar,,http://www.wikidata.org/entity/Q75698,Samuel Finley Breese Morse,1,,2024-10-31T14:40:26Z
http://www.wikidata.org/entity/Q37822147,Odalisque,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,14850500,United States dollar,,http://www.wikidata.org/entity/Q5589,Henri Matisse,0,,2024-10-31T14:48:07Z
http://www.wikidata.org/entity/Q52986307,Young Girl with a Flower Basket,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,115000000,United States dollar,,http://www.wikidata.org/entity/Q5593,Pablo Picasso,4,,2024-10-29T00:50:25Z
http://www.wikidata.org/entity/Q58791744,Portrait of an Artist (Pool with Two Figures),Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,90312500,United States dollar,,http://www.wikidata.org/entity/Q159907,David Hockney,13,,2021-08-26T12:49:03Z
http://www.wikidata.org/entity/Q64307895,Red Rooves of L'Estaque,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,55320000,United States dollar,,http://www.wikidata.org/entity/Q35548,Paul Cézanne,0,,2024-10-29T21:49:37Z
http://www.wikidata.org/entity/Q65090699,Rabbit,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,1,United States dollar,,http://www.wikidata.org/entity/Q297525,Jeff Koons,6,,2024-03-10T08:42:59Z
http://www.wikidata.org/entity/Q77715187,Comedian,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,6200000,United States dollar,,http://www.wikidata.org/entity/Q655398,Maurizio Cattelan,15,,2024-11-28T09:21:38Z
http://www.wikidata.org/entity/Q77715187,Comedian,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,6200000,United States dollar,,http://www.wikidata.org/entity/Q4155206,David Datuna,15,,2024-11-28T09:21:38Z
http://www.wikidata.org/entity/Q88798922,Bal du moulin de la Galette,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,78100000,United States dollar,,http://www.wikidata.org/entity/Q39931,Pierre-Auguste Renoir,0,,2024-10-29T21:44:28Z
http://www.wikidata.org/entity/Q106522623,Woman With a Fan,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,10600000,United States dollar,,http://www.wikidata.org/entity/Q34661,Gustav Klimt,15,,2024-03-31T07:59:41Z
http://www.wikidata.org/entity/Q106729777,Water-Lily Pond,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,70350000,United States dollar,,http://www.wikidata.org/entity/Q296,Claude Monet,0,,2023-06-14T19:58:05Z
http://www.wikidata.org/entity/Q106729777,Water-Lily Pond,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,16808000,United States dollar,,http://www.wikidata.org/entity/Q296,Claude Monet,0,,2023-06-14T19:58:05Z
http://www.wikidata.org/entity/Q106936742,Madonna with the Child and Saint Francis,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,17300000,United States dollar,,http://www.wikidata.org/entity/Q186202,Giovanni Battista Tiepolo,0,,2022-07-17T12:35:30Z
http://www.wikidata.org/entity/Q107036412,I am,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,18.3,United States dollar,,http://www.wikidata.org/entity/Q16977527,Salvatore Garau,6,,2024-11-14T18:55:09Z
http://www.wikidata.org/entity/Q107697085,Eisberg,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,21569258,United States dollar,,http://www.wikidata.org/entity/Q164351,Gerhard Richter,0,,2022-06-26T20:12:05Z
http://www.wikidata.org/entity/Q109550022,Le bassin d'Argenteuil,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,27840000,United States dollar,,http://www.wikidata.org/entity/Q296,Claude Monet,0,,2023-06-01T02:26:11Z
http://www.wikidata.org/entity/Q110663167,Anna's Light,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,105700000,United States dollar,,http://www.wikidata.org/entity/Q374504,Barnett Newman,1,,2022-12-04T19:23:00Z
http://www.wikidata.org/entity/Q111956958,Shot Sage Blue Marilyn,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,195040000,United States dollar,,http://www.wikidata.org/entity/Q5603,Andy Warhol,0,,2022-06-09T20:16:28Z
http://www.wikidata.org/entity/Q112675413,Number 31,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,54205000,United States dollar,,http://www.wikidata.org/entity/Q37571,Jackson Pollock,0,,2022-07-23T11:37:29Z
http://www.wikidata.org/entity/Q113637987,Birch Forest,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,104585000,United States dollar,,http://www.wikidata.org/entity/Q34661,Gustav Klimt,0,,2024-10-27T10:31:33Z
http://www.wikidata.org/entity/Q114387979,"Large Interior, W11 (after Watteau)",Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,86265000,United States dollar,,http://www.wikidata.org/entity/Q154594,Lucian Freud,0,,2022-12-25T20:33:26Z
http://www.wikidata.org/entity/Q114458329,"Waterloo Bridge, Hazy Sun",Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,64510000,United States dollar,,http://www.wikidata.org/entity/Q296,Claude Monet,0,,2024-10-13T10:36:02Z
http://www.wikidata.org/entity/Q114458461,"Depositing of John Bellini’s Three Pictures in La Chiesa Redentore, Venice",Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,33595000,United States dollar,,http://www.wikidata.org/entity/Q159758,J. M. W. Turner,0,,2022-12-25T21:03:22Z
